Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
Fabian Allen,50.0 Lakhs,ALL-ROUNDER,,,MI,Unsold
Carlos Brathwaite,75.0 Lakhs,ALL-ROUNDER,,,,Unsold
Roston Chase,1.0 Cr,ALL-ROUNDER,,,,Unsold
Rahkeem Cornwall,1.0 Cr,ALL-ROUNDER,,,,Unsold
Karim Janat,50.0 Lakhs,ALL-ROUNDER,,,,Unsold
Keshav Maharaj,50.0 Lakhs,ALL-ROUNDER,,,,Unsold
Pawan Negi,50.0 Lakhs,ALL-ROUNDER,,,,Unsold
Keemo Paul,50.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shivam Chaudhary,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Ashwin Das,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
James Fuller,40.0 Lakhs,ALL-ROUNDER,,,,Unsold
Chirag Jani,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Akshay Karnewar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Bhagmender Lather,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Lone Muzaffar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Pulkit Narang,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Rohit Rayudu,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sameer Rizvi,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Tunish Sawkar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Auqib Dar,20.0 Lakhs,BOWLER,,,,Unsold
Mukhtar Hussain,20.0 Lakhs,BOWLER,,,,Unsold
Ashwani Kumar,20.0 Lakhs,BOWLER,,,,Unsold
Hemant Kumar,20.0 Lakhs,BOWLER,,,,Unsold
Nathan McAndrew,20.0 Lakhs,BOWLER,,,,Unsold
Rajesh Mohanty,20.0 Lakhs,BOWLER,,,,Unsold
Ravi Sharma,20.0 Lakhs,BOWLER,,,,Unsold
Vikash Singh,20.0 Lakhs,BOWLER,,,,Unsold
Ruben Trumpelmann,20.0 Lakhs,BOWLER,,,,Unsold
Koushik Vasuki,20.0 Lakhs,BOWLER,,,,Unsold
Vasu Vats,20.0 Lakhs,BOWLER,,,,Unsold
Shubham Agrawal,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Baba Aparajith,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Anshul Kamboj,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Azim Kazi,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Dev Lakra,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Jitender Pal,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Ritwik Roy Chowdhury,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Utkarsh Singh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shubham Singh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Avneesh Sudha,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Asad Jamil Ahmed,20.0 Lakhs,BOWLER,,,,Unsold
Bandaru Ayyappa,20.0 Lakhs,BOWLER,,,,Unsold
Aashish Bhatt,20.0 Lakhs,BOWLER,,,,Unsold
McKenny Clarke,20.0 Lakhs,BOWLER,,,,Unsold
Shubham Kapse,20.0 Lakhs,BOWLER,,,,Unsold
Gourav Koul,20.0 Lakhs,BOWLER,,,,Unsold
Raunak Kumar,20.0 Lakhs,BOWLER,,,,Unsold
Trilok Nag,20.0 Lakhs,BOWLER,,,,Unsold
Atal Bihari Rai,20.0 Lakhs,BOWLER,,,,Unsold
Ramon Simmonds,20.0 Lakhs,BOWLER,,,,Unsold
Rajeev Singh,20.0 Lakhs,BOWLER,,,,Unsold
Mohd. Wasim,20.0 Lakhs,BOWLER,,,,Unsold
Atharva Ankolekar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Khizar Dafedar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Naman Dhir,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sahil Dhiwan,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sampark Gupta,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Jordan Hermann,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Hayden Kerr,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Salman Khan,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sairaj Patil,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Divyaansh Saxena,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Purnank Tyagi,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Prince Yadav,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Deepraj Gaonkar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shubham Garhwal,20.0 Lakhs,ALL-ROUNDER,,,RR,Unsold
Benny Howell,40.0 Lakhs,ALL-ROUNDER,,,PBKS,Unsold
Deepesh Nailwal,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Arjun Rapria,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shashwat Rawat,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sumit Ruikar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shivam Sharma,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Rajandeep Singh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Anunay Singh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Digvesh Singh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Pranshu Vijayran,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Prerit Dutta,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Ramakrishna Ghosh,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shubhang Hegde,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shamshuzama Kazi,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Ayaz Khan,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Amit Pachhara,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Akul Pandove,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Garv Sangwan,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Shubham Sharma,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Amit Yadav,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Amit Ali,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Rishabh Chauhan,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Matthew Forde,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sammar Gajjar,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Rajneesh Gurbani,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Divyansh Joshi,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Dhruv Patel,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Jack Prestwidge,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Aditya Sarvate,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Sagar Solanki,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
Prenelan Subrayen,20.0 Lakhs,ALL-ROUNDER,,,,Unsold
